loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_kepmag
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.470613377,2.7000000e-08,-2.70E-08,122.763305,8.700000e-06,-8.70E-06,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.338
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,,0,1,0,0,2.204735417,4.3000000e-08,-4.30E-08,121.3585417,1.600000e-05,-1.60E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,10.463
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.887803076,4.6600000e-07,-4.66E-07,124.8130808,7.510000e-05,-7.51E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,9.174
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.849371737,2.3440000e-06,-2.34E-06,157.526686,4.880000e-04,-4.88E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.432
5,8554498,K00005.01,,CANDIDATE,CANDIDATE,,0,0,0,0,4.780327581,8.5200000e-07,-8.52E-07,132.974086,1.480000e-04,-1.48E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,11.665
6,8554498,K00005.02,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,7.05185637,,,133.3669015,,,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,11.665
7,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.334101467,1.6550000e-06,-1.66E-06,133.703081,9.830000e-04,-9.83E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.161
8,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.213668926,1.0900000e-06,-1.09E-06,123.611878,2.740000e-04,-2.74E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.211
9,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.16015259,8.6800000e-07,-8.68E-07,121.704645,6.730000e-04,-6.73E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.45
10,11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,3.719809197,9.3900000e-07,-9.39E-07,135.068298,2.060000e-04,-2.06E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.123
11,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.522498429,1.9800000e-07,-1.98E-07,121.1194228,4.710000e-05,-4.71E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.563
12,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,3.747838198,3.8960000e-06,-3.90E-06,171.66504,9.020000e-04,-9.02E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.496
13,5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,,0,0,0,0,17.85522168,3.6760000e-06,-3.68E-06,146.596466,1.630000e-04,-1.63E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.353
14,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,,0,1,0,0,1.763587535,4.2000000e-08,-4.20E-08,120.5659254,1.990000e-05,-1.99E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,9.958
15,7684873,K00014.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,2.947376671,3.2280000e-06,-3.23E-06,171.522978,8.830000e-04,-8.83E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,10.47
16,3964562,K00015.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,3.012476582,1.1610000e-06,-1.16E-06,135.259271,2.980000e-04,-2.98E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.403
17,9110357,K00016.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,0.895277575,5.0700000e-07,-5.07E-07,133.411986,5.040000e-04,-5.04E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.574
18,10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.234699282,1.1900000e-07,-1.19E-07,121.4865708,2.920000e-05,-2.92E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.303
19,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,,0,1,0,0,3.548465446,1.8300000e-07,-1.83E-07,122.9014315,4.260000e-05,-4.26E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.369
20,7255336,K00019.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,1.20320092,2.9600000e-07,-2.96E-07,133.929836,2.040000e-04,-2.04E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.374
21,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.437962934,1.7100000e-07,-1.71E-07,171.0091259,2.880000e-05,-2.88E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.438
22,10125352,K00021.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,4.288515468,1.0740000e-06,-1.07E-06,121.97268,2.120000e-04,-2.12E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.396
23,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,,0,0,0,0,7.891448838,5.0600000e-07,-5.06E-07,177.2499624,5.030000e-05,-5.03E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.435
24,9071386,K00023.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,4.693305543,3.8400000e-07,-3.84E-07,136.8627229,6.620000e-05,-6.62E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.291
25,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,2.086075752,1.3920000e-06,-1.39E-06,170.965627,5.750000e-04,-5.75E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.963
26,10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,3.132604547,1.4810000e-06,-1.48E-06,136.010454,3.940000e-04,-3.94E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.499
27,5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,15.03946326,1.1120000e-05,-1.11E-05,144.137461,6.060000e-04,-6.06E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.997
28,3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,1.141877248,6.6000000e-08,-6.60E-08,170.3386848,4.620000e-05,-4.62E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.418
29,4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,4.100870416,3.6100000e-07,-3.61E-07,168.1460533,7.020000e-05,-7.02E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.26
30,6956014,K00031.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.925589891,3.6530000e-06,-3.65E-06,169.69275,3.190000e-03,-3.19E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,10.795
31,5725087,K00033.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.366197145,1.0250000e-06,-1.03E-06,133.55969,2.270000e-03,-2.27E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.059
32,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,,0,0,0,0,12.81590421,1.9450000e-05,-1.95E-05,122.94682,1.190000e-03,-1.19E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,11.197
