,kepid,koi_name,kepler_name,pl_name
0,8480285,K00691.02,Kepler-647 b,Kepler-647 b
1,8738735,K00693.02,Kepler-214 b,Kepler-214 b
2,9597345,K00711.02,Kepler-218 b,Kepler-218 b
3,9884104,K00718.02,Kepler-219 c,Kepler-219 c
4,7447200,K00676.02,Kepler-210 b,Kepler-210 b
5,10227020,K00730.02,Kepler-223 c,Kepler-223 c
6,10271806,K00733.02,Kepler-224 d,Kepler-224 d
7,8150320,K00904.02,Kepler-55 b,Kepler-55 b
8,10601284,K00749.02,Kepler-226 b,Kepler-226 b
9,10797460,K00752.02,Kepler-227 c,Kepler-227 c
10,5531576,K00837.02,Kepler-240 b,Kepler-240 b
11,6428700,K00853.02,Kepler-242 c,Kepler-242 c
12,6849310,K00864.02,Kepler-244 d,Kepler-244 d
13,9334289,K00934.02,Kepler-254 c,Kepler-254 c
14,8158127,K01015.02,Kepler-750 c,Kepler-750 c
15,5880320,K01060.02,Kepler-758 c,Kepler-758 c
16,2854914,K01113.02,Kepler-268 c,Kepler-268 c
17,8280511,K01151.02,Kepler-271 c,Kepler-271 c
18,10468940,K01163.02,Kepler-273 c,Kepler-273 c
19,6381846,K00509.02,Kepler-171 c,Kepler-171 c
20,9471974,K00119.02,Kepler-108 c,Kepler-108 c
21,9458613,K00707.04,Kepler-33 c,Kepler-33 c
22,1432789,K00992.01,Kepler-745 b,Kepler-745 b
23,1725016,K01007.01,Kepler-748 b,Kepler-748 b
24,2164169,K01029.01,Kepler-1732 b,Kepler-1732 b
25,10875245,K00117.04,Kepler-107 d,Kepler-107 d
26,2584163,K01031.01,Kepler-754 b,Kepler-754 b
27,2716853,K01022.01,Kepler-752 b,Kepler-752 b
28,2721030,K01094.01,Kepler-766 b,Kepler-766 b
29,2837111,K01110.01,Kepler-771 b,Kepler-771 b
30,11122894,K01426.03,Kepler-297 d,Kepler-297 d
31,5866724,K00085.03,Kepler-65 d,Kepler-65 d
32,3109930,K01112.01,Kepler-1736 b,Kepler-1736 b
33,11512246,K00168.03,Kepler-23 b,Kepler-23 b
34,5351250,K00408.03,Kepler-150 e,Kepler-150 e
35,3240158,K01106.01,Kepler-769 b,Kepler-769 b
36,10118816,K01085.01,Kepler-1735 b,Kepler-1735 b
37,10122255,K01086.01,Kepler-765 b,Kepler-765 b
38,10157458,K01083.01,Kepler-764 b,Kepler-764 b
39,10166274,K01078.01,Kepler-267 b,Kepler-267 b
40,10354039,K01159.01,Kepler-1737 b,Kepler-1737 b
41,9941859,K00528.03,Kepler-178 c,Kepler-178 c
42,10482160,K01170.01,Kepler-1739 b,Kepler-1739 b
43,6685609,K00665.03,Kepler-207 c,Kepler-207 c
