,hostname,hd_name,hip_name,pl_name,disc_year,pl_orbper
189,Kepler-1000,,,Kepler-1000 b,2016,120.0181272
182,Kepler-1002,,,Kepler-1002 b,2016,4.336429331
108,Kepler-1003,,,Kepler-1003 b,2016,3.554856915
597,Kepler-1004,,,Kepler-1004 b,2016,5.28789787
190,Kepler-1005,,,Kepler-1005 b,2016,6.49801525
1358,Kepler-1006,,,Kepler-1006 b,2016,19.76172042
613,Kepler-1007,,,Kepler-1007 b,2016,5.185002073
208,Kepler-1008,,,Kepler-1008 b,2016,12.43931193
290,Kepler-1009,,,Kepler-1009 b,2016,11.35011917
622,Kepler-1010,,,Kepler-1010 b,2016,34.2685705
337,Kepler-1011,,,Kepler-1011 b,2016,5.753221974
213,Kepler-1012,,,Kepler-1012 b,2016,5.50860439
1225,Kepler-1013,,,Kepler-1013 b,2016,18.93054959
623,Kepler-1014,,,Kepler-1014 b,2016,16.57110363
165,Kepler-1015,,,Kepler-1015 b,2016,16.00494214
1256,Kepler-1017,,,Kepler-1017 b,2016,7.23400469
194,Kepler-1018,,,Kepler-1018 b,2016,49.1013514
858,Kepler-1019,,,Kepler-1019 b,2016,1.411229847
591,Kepler-1020,,,Kepler-1020 b,2016,96.9151496
1357,Kepler-1021,,,Kepler-1021 b,2016,13.47469571
419,Kepler-1022,,,Kepler-1022 b,2016,10.99469878
1227,Kepler-1023,,,Kepler-1023 b,2016,62.1387714
859,Kepler-1024,,,Kepler-1024 b,2016,66.4162133
596,Kepler-1025,,,Kepler-1025 b,2016,37.3229493
199,Kepler-1026,,,Kepler-1026 b,2016,36.5156053
666,Kepler-1027,,,Kepler-1027 b,2016,1.907805199
377,Kepler-1028,,,Kepler-1028 b,2016,2.51462432
171,Kepler-1029,,,Kepler-1029 b,2016,4.417696479
380,Kepler-1030,,,Kepler-1030 b,2016,19.32952416
385,Kepler-1031,,,Kepler-1031 b,2016,1.22621732
307,Kepler-1032,,,Kepler-1032 b,2016,3.290117953
310,Kepler-1033,,,Kepler-1033 b,2016,7.56052806
1326,Kepler-1034,,,Kepler-1034 b,2016,12.12400943
106,Kepler-1035,,,Kepler-1035 b,2016,2.714077555
64,Kepler-1036,,,Kepler-1036 b,2016,122.8808058
608,Kepler-1037,,,Kepler-1037 b,2016,1.063788673
785,Kepler-1039,,,Kepler-1039 b,2016,0.934884242
178,Kepler-1040,,,Kepler-1040 b,2016,201.1214
384,Kepler-1041,,,Kepler-1041 b,2016,24.7576421
835,Kepler-1042,,,Kepler-1042 b,2016,10.13202575
112,Kepler-1043,,,Kepler-1043 b,2016,38.5053398
133,Kepler-1044,,,Kepler-1044 b,2016,6.77408868
1342,Kepler-1045,,,Kepler-1045 b,2016,26.41045478
11,Kepler-1046,,,Kepler-1046 b,2016,14.37508035
405,Kepler-1048,,,Kepler-1048 b,2016,6.92101021
439,Kepler-1049,,,Kepler-1049 b,2016,3.273460736
578,Kepler-1051,,,Kepler-1051 b,2016,25.96200249
1244,Kepler-1053,,,Kepler-1053 b,2016,2.414351654
97,Kepler-1054,,,Kepler-1054 b,2016,4.30655689
326,Kepler-1055,,,Kepler-1055 b,2016,2.295036233
416,Kepler-1056,,,Kepler-1056 b,2016,27.495606
1334,Kepler-1057,,,Kepler-1057 b,2016,14.08827448
605,Kepler-1058,,,Kepler-1058 b,2016,110.96546
398,Kepler-1059,,,Kepler-1059 b,2016,3.764191048
887,Kepler-1060,,,Kepler-1060 b,2016,46.8779367
18,Kepler-1061,,,Kepler-1061 b,2016,2.757982666
120,Kepler-1062,,,Kepler-1062 b,2016,9.30412078
187,Kepler-1063,,,Kepler-1063 b,2016,14.07971466
30,Kepler-1064,,,Kepler-1064 b,2016,16.54080322
230,Kepler-1066,,,Kepler-1066 b,2016,1.931559839
592,Kepler-1068,,,Kepler-1068 b,2016,16.92344113
593,Kepler-1069,,,Kepler-1069 b,2016,23.8990296
1305,Kepler-1070,,,Kepler-1070 b,2016,6.2216147
956,Kepler-1071,,,Kepler-1071 b,2016,6.1799844
1015,Kepler-1072,,,Kepler-1072 b,2016,1.569066502
895,Kepler-1074,,,Kepler-1074 b,2016,5.94566534
1393,Kepler-1075,,,Kepler-1075 b,2016,1.52372816
188,Kepler-1076,,,Kepler-1076 b,2016,6.14727918
1404,Kepler-1077,,,Kepler-1077 b,2016,34.3511874
31,Kepler-1078,,,Kepler-1078 b,2016,3.00725242
1405,Kepler-1079,,,Kepler-1079 b,2016,13.24503188
288,Kepler-1080,,,Kepler-1080 b,2016,77.2548396
209,Kepler-1081,,,Kepler-1081 b,2016,3.856918547
586,Kepler-1082,,,Kepler-1082 b,2016,1.543206604
152,Kepler-1083,,,Kepler-1083 b,2016,33.4177993
289,Kepler-1084,,,Kepler-1084 b,2016,2.05333679
95,Kepler-1087,,,Kepler-1087 b,2016,0.693842855
1238,Kepler-1088,,,Kepler-1088 b,2016,23.12748644
33,Kepler-1089,,,Kepler-1089 b,2016,5.132485618
353,Kepler-1091,,,Kepler-1091 b,2016,1.434741564
1312,Kepler-1092,,,Kepler-1092 b,2016,58.6017925
356,Kepler-1094,,,Kepler-1094 b,2016,78.1000231
16,Kepler-1095,,,Kepler-1095 b,2016,4.27103091
15,Kepler-1096,,,Kepler-1096 b,2016,2.892217506
111,Kepler-1097,,,Kepler-1097 b,2016,187.747029
215,Kepler-1098,,,Kepler-1098 b,2016,2.543072855
207,Kepler-1099,,,Kepler-1099 b,2016,2.168452593
67,Kepler-1100,,,Kepler-1100 b,2016,6.42200058
515,Kepler-1101,,,Kepler-1101 b,2016,81.3151059
43,Kepler-1102,,,Kepler-1102 b,2016,51.3285623
568,Kepler-1103,,,Kepler-1103 b,2016,19.79191978
609,Kepler-1104,,,Kepler-1104 b,2016,5.03728015
910,Kepler-1105,,,Kepler-1105 b,2016,4.421572182
1319,Kepler-1106,,,Kepler-1106 b,2016,1.252752174
569,Kepler-1107,,,Kepler-1107 b,2016,0.571038518
90,Kepler-1108,,,Kepler-1108 b,2016,4.51005748
266,Kepler-1109,,,Kepler-1109 b,2016,37.6467384
727,Kepler-1110,,,Kepler-1110 b,2016,9.69312032
911,Kepler-1111,,,Kepler-1111 b,2016,8.79617863
912,Kepler-1112,,,Kepler-1112 b,2016,14.36267939
421,Kepler-1113,,,Kepler-1113 b,2016,42.3004954
602,Kepler-1114,,,Kepler-1114 b,2016,14.97435694
734,Kepler-1115,,,Kepler-1115 b,2016,23.5540725
735,Kepler-1116,,,Kepler-1116 b,2016,41.6977827
614,Kepler-1117,,,Kepler-1117 b,2016,4.79028459
130,Kepler-1118,,,Kepler-1118 b,2016,38.6715075
736,Kepler-1119,,,Kepler-1119 b,2016,8.3265153
184,Kepler-1120,,,Kepler-1120 b,2016,2.949029052
610,Kepler-1121,,,Kepler-1121 b,2016,13.15141081
741,Kepler-1122,,,Kepler-1122 b,2016,42.1917357
457,Kepler-1123,,,Kepler-1123 b,2016,4.33946454
191,Kepler-1124,,,Kepler-1124 b,2016,2.852348975
458,Kepler-1125,,,Kepler-1125 b,2016,17.6700642
913,Kepler-1127,,,Kepler-1127 b,2016,5.12330347
164,Kepler-1128,,,Kepler-1128 b,2016,61.6178167
343,Kepler-1131,,,Kepler-1131 b,2016,3.53232449
462,Kepler-1132,,,Kepler-1132 b,2016,62.8916228
193,Kepler-1133,,,Kepler-1133 b,2016,11.55562343
345,Kepler-1134,,,Kepler-1134 b,2016,17.13263989
1313,Kepler-1135,,,Kepler-1135 b,2016,76.957857
463,Kepler-1136,,,Kepler-1136 b,2016,2.361724329
192,Kepler-1137,,,Kepler-1137 b,2016,23.9210791
357,Kepler-1138,,,Kepler-1138 b,2016,3.17060005
611,Kepler-1139,,,Kepler-1139 b,2016,0.813166719
1364,Kepler-1140,,,Kepler-1140 b,2016,24.0862707
1242,Kepler-1141,,,Kepler-1141 b,2016,2.344511944
205,Kepler-1142,,,Kepler-1142 b,2016,18.3027248
1365,Kepler-1144,,,Kepler-1144 b,2016,17.14647302
922,Kepler-1145,,,Kepler-1145 b,2016,3.97076766
468,Kepler-1146,,,Kepler-1146 b,2016,2.352265797
88,Kepler-1147,,,Kepler-1147 b,2016,10.62784997
707,Kepler-1148,,,Kepler-1148 b,2016,1.104463509
366,Kepler-1149,,,Kepler-1149 b,2016,3.73089898
743,Kepler-1150,,,Kepler-1150 b,2016,2.787868386
367,Kepler-1151,,,Kepler-1151 b,2016,65.6478424
358,Kepler-1152,,,Kepler-1152 b,2016,1.646801908
363,Kepler-1153,,,Kepler-1153 b,2016,1.755835327
1380,Kepler-1155,,,Kepler-1155 b,2016,33.469743
1243,Kepler-1156,,,Kepler-1156 b,2016,11.89520511
374,Kepler-1157,,,Kepler-1157 b,2016,4.45743164
959,Kepler-1158,,,Kepler-1158 b,2016,13.5396293
829,Kepler-1159,,,Kepler-1159 b,2016,22.70816791
376,Kepler-1160,,,Kepler-1160 b,2016,7.97034958
708,Kepler-1161,,,Kepler-1161 b,2016,10.71252541
136,Kepler-1163,,,Kepler-1163 b,2016,6.11786898
960,Kepler-1164,,,Kepler-1164 b,2016,3.97599768
744,Kepler-1166,,,Kepler-1166 b,2016,33.2406882
745,Kepler-1167,,,Kepler-1167 b,2016,1.003933739
709,Kepler-1168,,,Kepler-1168 b,2016,55.8226539
819,Kepler-1169,,,Kepler-1169 b,2016,6.11009134
1392,Kepler-1170,,,Kepler-1170 b,2016,9.98969327
746,Kepler-1171,,,Kepler-1171 b,2016,1.44259224
479,Kepler-1172,,,Kepler-1172 b,2016,26.0204423
240,Kepler-1173,,,Kepler-1173 b,2016,0.7698536
212,Kepler-1174,,,Kepler-1174 b,2016,6.89225223
186,Kepler-1175,,,Kepler-1175 b,2016,37.94563
359,Kepler-1176,,,Kepler-1176 b,2016,24.1738579
1152,Kepler-1177,,,Kepler-1177 b,2016,106.247547
364,Kepler-1178,,,Kepler-1178 b,2016,31.80634
270,Kepler-1179,,,Kepler-1179 b,2016,2.685057492
747,Kepler-1180,,,Kepler-1180 b,2016,16.8601286
1403,Kepler-1182,,,Kepler-1182 b,2016,11.17394617
487,Kepler-1183,,,Kepler-1183 b,2016,28.5057189
621,Kepler-1184,,,Kepler-1184 b,2016,53.5991044
1416,Kepler-1185,,,Kepler-1185 b,2016,104.3518976
710,Kepler-1186,,,Kepler-1186 b,2016,16.07677615
488,Kepler-1187,,,Kepler-1187 b,2016,18.87064068
678,Kepler-1188,,,Kepler-1188 b,2016,17.1369543
489,Kepler-1189,,,Kepler-1189 b,2016,3.78858982
221,Kepler-1190,,,Kepler-1190 b,2016,10.45843441
860,Kepler-1191,,,Kepler-1191 b,2016,5.60014851
495,Kepler-1192,,,Kepler-1192 b,2016,25.2034787
1271,Kepler-1193,,,Kepler-1193 b,2016,2.832652134
44,Kepler-1194,,,Kepler-1194 b,2016,16.22371307
748,Kepler-1195,,,Kepler-1195 b,2016,8.49642241
148,Kepler-1196,,,Kepler-1196 b,2016,66.1849031
961,Kepler-1197,,,Kepler-1197 b,2016,2.03231845
45,Kepler-1198,,,Kepler-1198 b,2016,7.6847716
1047,Kepler-1199,,,Kepler-1199 b,2016,15.0447198
54,Kepler-12,,,Kepler-12 b,2011,4.4379629
1204,Kepler-1200,,,Kepler-1200 b,2016,1.118549717
118,Kepler-1201,,,Kepler-1201 b,2016,15.18725932
274,Kepler-1202,,,Kepler-1202 b,2016,28.6851324
1387,Kepler-1203,,,Kepler-1203 b,2016,0.588000765
155,Kepler-1204,,,Kepler-1204 b,2016,85.7350285
638,Kepler-1205,,,Kepler-1205 b,2016,1.078390352
226,Kepler-1206,,,Kepler-1206 b,2016,1.216997663
29,Kepler-1207,,,Kepler-1207 b,2016,13.68237119
1320,Kepler-1208,,,Kepler-1208 b,2016,11.08507637
76,Kepler-1209,,,Kepler-1209 b,2016,25.369116
868,Kepler-1210,,,Kepler-1210 b,2016,8.07124073
143,Kepler-1211,,,Kepler-1211 b,2016,11.01816836
323,Kepler-1212,,,Kepler-1212 b,2016,12.94130146
575,Kepler-1213,,,Kepler-1213 b,2016,5.34982412
1389,Kepler-1214,,,Kepler-1214 b,2016,18.82634264
174,Kepler-1215,,,Kepler-1215 b,2016,4.76703963
324,Kepler-1216,,,Kepler-1216 b,2016,4.37034536
381,Kepler-1217,,,Kepler-1217 b,2016,2.032325072
21,Kepler-1218,,,Kepler-1218 b,2016,22.9221266
576,Kepler-1219,,,Kepler-1219 b,2016,16.10467749
275,Kepler-1220,,,Kepler-1220 b,2016,7.42693741
383,Kepler-1221,,,Kepler-1221 b,2016,12.00096042
22,Kepler-1222,,,Kepler-1222 b,2016,1.916944254
721,Kepler-1223,,,Kepler-1223 b,2016,16.301259
1010,Kepler-1224,,,Kepler-1224 b,2016,13.32351601
750,Kepler-1225,,,Kepler-1225 b,2016,7.01075434
315,Kepler-1226,,,Kepler-1226 b,2016,17.2923453
606,Kepler-1227,,,Kepler-1227 b,2016,94.2887577
241,Kepler-1228,,,Kepler-1228 b,2016,0.577369579
333,Kepler-1229,,,Kepler-1229 b,2016,86.828989
751,Kepler-1230,,,Kepler-1230 b,2016,9.95661537
172,Kepler-1231,,,Kepler-1231 b,2016,10.41725184
1009,Kepler-1232,,,Kepler-1232 b,2016,26.7839183
723,Kepler-1233,,,Kepler-1233 b,2016,45.1263042
80,Kepler-1234,,,Kepler-1234 b,2016,11.94014029
607,Kepler-1235,,,Kepler-1235 b,2016,4.16055856
149,Kepler-1236,,,Kepler-1236 b,2016,31.0571618
413,Kepler-1237,,,Kepler-1237 b,2016,84.5733226
500,Kepler-1238,,,Kepler-1238 b,2016,4.14787559
14,Kepler-1239,,,Kepler-1239 b,2016,5.19104016
285,Kepler-1240,,,Kepler-1240 b,2016,4.8663815
427,Kepler-1241,,,Kepler-1241 b,2016,18.5525701
91,Kepler-1242,,,Kepler-1242 b,2016,13.62798432
649,Kepler-1243,,,Kepler-1243 b,2016,16.8320729
183,Kepler-1244,,,Kepler-1244 b,2016,3.70428172
505,Kepler-1246,,,Kepler-1246 b,2016,11.32271513
365,Kepler-1247,,,Kepler-1247 b,2016,13.71220213
428,Kepler-1248,,,Kepler-1248 b,2016,7.46725407
650,Kepler-1249,,,Kepler-1249 b,2016,24.3347127
400,Kepler-1250,,,Kepler-1250 b,2016,2.607543834
628,Kepler-1251,,,Kepler-1251 b,2016,45.0904643
1390,Kepler-1252,,,Kepler-1252 b,2016,15.0540329
139,Kepler-1253,,,Kepler-1253 b,2016,68.8861915
261,Kepler-1255,,,Kepler-1255 b,2016,36.2919336
