kepid,pl_name,pl_orbper,pl_trandur,pl_trandep,log_orbital_period,log_trandur,log_trandep
9077124,Kepler-729 b,3.166353714,3.3039,0.14734,0.5005594283588746,0.5190268939433117,-0.8316793344811346
4049131,Kepler-687 b,20.50586978,4.0602,0.21055,1.3118781951130527,0.6085474268671126,-0.6766447542437162
5022828,Kepler-1115 b,23.5540725,7.159,0.00856,1.3720660074890203,0.8548523624178339,-2.067526235322847
5470739,Kepler-899 b,19.17891293,5.2,0.07528,1.2828239875123373,0.7160033436347992,-1.1233203895807995
7212184,Kepler-1255 b,36.2919336,8.181,0.03747,1.5598101076174542,0.9128063926612924,-1.426316306906202
12156174,Kepler-1447 b,56.6747285,5.422,0.08831,1.753389448318021,0.7341595132444667,-1.0539901152342352
10395381,Kepler-659 b,17.671796,3.2554,0.09186,1.2472806894757782,0.5126043591468317,-1.0368735589180953
8260902,Kepler-1118 b,38.6715075,5.567,0.05993,1.5873911021524685,0.7456212213069384,-1.222355722303515
12459913,Kepler-620 b,12.91375431,6.042,0.04879,1.11105251950003,0.7811807209372617,-1.3116691818877335
5031857,Kepler-1755 b,24.81209946,3.2245,0.20908,1.3946635133780891,0.5084623812733606,-0.6796875085742871
10854555,Kepler-664 b,2.525593315,1.5882,0.06033,0.4023634193504051,0.2009051916849918,-1.2194666746835956
12116380,Kepler-1123 b,4.33946454,2.2973,0.03374,0.6374361438742485,0.3612177125816818,-1.4718549217468937
7620413,Kepler-1098 b,2.543072855,2.7494,0.0152,0.4053588022013673,0.4392379283321443,-1.8181564120552276
10857519,Kepler-1084 b,2.05333679,2.3751,0.00663,0.312460188553527,0.3756818996593746,-2.178486471595227
11137180,Kepler-1895 b,6.070290089,1.29,0.03441,0.7832094457773382,0.1105897102992489,-1.4633153273790698
4138951,Kepler-1373 b,1.29123275,1.876,0.0066,0.1110045326846149,0.2732328340430456,-2.1804560644581312
11460462,Kepler-1104 b,5.03728015,1.8848,0.00784,0.7021961049605007,0.2752652731070076,-2.1056839373155616
